league	club	player	nationality	source
Spain	Real Madrid	Arbeloa	Spain	fifa11
Spain	Real Madrid	P. Leon	Spain	fifa11
Spain	Real Madrid	Garay	Argentina	fifa11
Spain	Real Madrid	Lass	France	manual-audit
Spain	Real Madrid	Ozil	Germany	fifa11
Spain	Real Madrid	Khedira	Germany	fifa11
Spain	Real Madrid	Carvalho	Portugal	fifa11
Spain	Real Madrid	Canales	Spain	fifa11
Spain	Sevilla	Palop	Spain	fifa11
Spain	Sevilla	Navarro	Spain	fifa11
Spain	Sevilla	Dabo	France	fifa11
Spain	Sevilla	Caceres	Uruguay	fifa11
Spain	Sevilla	Escude	France	fifa11
Spain	Sevilla	Zokora	Ivory Coast	fifa11
Spain	Sevilla	Renato	Brazil	fifa11
Spain	Sevilla	Perotti	Argentina	fifa11
Spain	Sevilla	Navas	Spain	fifa11
Spain	Sevilla	Kanoute	Mali	fifa11
Spain	Sevilla	Luis Fabiano	Brazil	fifa11
Spain	Sevilla	Varas	Spain	fifa11
Spain	Sevilla	Konko	France	fifa11
Spain	Sevilla	Fazio	Argentina	fifa11
Spain	Sevilla	Guarente	Italy	fifa11
Spain	Sevilla	Capel	Spain	fifa11
Spain	Sevilla	Negredo	Spain	fifa11
Spain	Sevilla	Cigarini	Italy	fifa11
Spain	Sevilla	Rodri	Spain	fifa11
Spain	Sevilla	Romaric	Ivory Coast	fifa11
Spain	Atl. Madrid	De Gea	Spain	fifa11
Spain	Atl. Madrid	Perea	Colombia	fifa11
Spain	Atl. Madrid	Dominguez	Spain	fifa11
Spain	Atl. Madrid	Ujfalusi	Czech Republic	fifa11
Spain	Atl. Madrid	Lopez	Spain	fifa11
Spain	Atl. Madrid	Assuncao	Brazil	fifa11
Spain	Atl. Madrid	Reyes	Spain	fifa11
Spain	Atl. Madrid	Forlan	Uruguay	fifa11
Spain	Atl. Madrid	Aguero	Argentina	fifa11
Spain	Atl. Madrid	D. Costa	Brazil	fifa11
Spain	Atl. Madrid	Salvio	Argentina	fifa11
Spain	Atl. Madrid	Simao	Portugal	fifa11
Spain	Atl. Madrid	Koke	Spain	fifa11
Spain	Atl. Madrid	Asenjo	Spain	fifa11
Spain	Atl. Madrid	Filipe Luis	Brazil	fifa11
Spain	Atl. Madrid	Tiago	Portugal	fifa11
Spain	Atl. Madrid	Camacho	Spain	fifa11
Spain	Atl. Madrid	Suarez	Spain	fifa11
Spain	Atl. Madrid	Godin	Uruguay	fifa11
Spain	Atl. Madrid	Valera	Spain	fifa11
Spain	Villarreal	Lopez	Spain	fifa11
Spain	Villarreal	Angel	Spain	fifa11
Spain	Villarreal	Marchena	Spain	fifa11
Spain	Villarreal	Gonzalo	Spain	fifa11
Spain	Villarreal	Capdevila	Spain	fifa11
Spain	Villarreal	Senna	Spain	fifa11
Spain	Villarreal	Valero	Spain	fifa11
Spain	Villarreal	Cazorla	Spain	fifa11
Spain	Villarreal	Cani	Spain	fifa11
Spain	Villarreal	Nilmar	Brazil	fifa11
Spain	Villarreal	Rossi	Italy	fifa11
Spain	Villarreal	Oliva	Spain	fifa11
Spain	Villarreal	Musacchio	Argentina	fifa11
Spain	Villarreal	Bruno	Spain	fifa11
Spain	Villarreal	Kiko	Spain	fifa11
Spain	Villarreal	Catala	Spain	fifa11
Spain	Villarreal	Matilla	Spain	fifa11
Spain	Villarreal	M. Gaspar	Spain	fifa11
Spain	Villarreal	Montero	Ecuador	fifa11
Spain	Villarreal	Ruben	Argentina	fifa11
Spain	Valencia	Cesar	Spain	fifa11
Spain	Valencia	Albelda	Spain	fifa11
Spain	Valencia	J. Alba	Spain	fifa11
Spain	Valencia	R. Costa	Portugal	fifa11
Spain	Valencia	Mathieu	France	fifa11
Spain	Valencia	Topal	Turkey	fifa11
Spain	Valencia	Banega	Argentina	fifa11
Spain	Valencia	Hernandez	Spain	fifa11
Spain	Valencia	Mata	Spain	fifa11
Spain	Valencia	Aduriz	Spain	fifa11
Spain	Valencia	Soldado	Spain	fifa11
Spain	Valencia	Moya	Spain	fifa11
Spain	Valencia	Dealbert	Spain	fifa11
Spain	Valencia	Miguel	Portugal	fifa11
Spain	Valencia	Maduro	Netherlands	fifa11
Spain	Valencia	Vicente	Spain	fifa11
Spain	Valencia	Joaquin	Spain	fifa11
Spain	Valencia	Feghouli	France	fifa11
Spain	Valencia	T. Costa	Argentina	fifa11
Spain	Valencia	Guaita	Spain	fifa11
Spain	Deportivo	Aranzubia	Spain	fifa11
Spain	Deportivo	Morel	France	fifa11
Spain	Deportivo	Castro	Portugal	fifa11
Spain	Deportivo	Lopo	Spain	fifa11
Spain	Deportivo	Aythami	Spain	fifa11
Spain	Deportivo	Guardado	Mexico	fifa11
